##Recombination and mutation rate maps for Drosophila melanogaster simulations, with recombination rate maps taken and rescaled from Comeron et al. 2012 and mutation rates generated by a normal distribution using parameters estimated by Mackay et al. 2012 (see methods)
##
Simulation window start	Comeron Start	Comeron End	Comeron Midpoint rate      	Recomb Rate (cM/Mb) Scaled to mean = 1E-8	Genetic map (cumulative cM)	Mutation rates generated by slim rnorm(100, 3, 1.473) scaled to mean 1e-8
0	N/A	N/A	3.69	1	0	3
20000	10000000	10009999	4.23	1.030582321	0.02	3.55
70000	10100000	10109999	5.21	1.181399246	0.071529116	3.38
120000	10200000	10209999	1.74	1.455104036	0.130599078	2.65
170000	10300000	10309999	3.36	0.485965647	0.20335428	0.42
220000	10400000	10409999	2.49	0.938416422	0.227652562	1.60
270000	10500000	10509999	1.95	0.695433599	0.274573384	3.22
320000	10600000	10609999	1.41	0.544616674	0.309345064	4.43
370000	10700000	10709999	4.34	0.393799749	0.336575897	4.98
420000	10800000	10809999	6.07	1.212121212	0.356265885	3.51
470000	10900000	10909999	1.08	1.695293953	0.416871945	1.21
520000	11000000	11009999	1.3	0.30163385	0.501636643	0.75
570000	11100000	11109999	3.36	0.363077782	0.516718335	4.67
620000	11200000	11209999	1.3	0.938416422	0.534872225	3.07
670000	11300000	11309999	4.45	0.363077782	0.581793046	1.60
720000	11400000	11409999	2.93	1.242843178	0.599946935	2.88
770000	11500000	11509999	4.12	0.818321463	0.662089094	3.99
820000	11600000	11609999	2.17	1.15067728	0.703005167	4.32
870000	11700000	11709999	3.9	0.606060606	0.760539031	1.10
920000	11800000	11809999	3.58	1.089233347	0.790842061	2.30
970000	11900000	11909999	6.72	0.999860355	0.845303729	2.96
1020000	12000000	12009999	8.13	1.876832845	0.895296746	2.67
1070000	12100000	12109999	3.15	2.270632593	0.989138388	2.63
1120000	12200000	12209999	4.45	0.879765396	1.102670018	3.50
1170000	12300000	12309999	4.56	1.242843178	1.146658288	4.42
1220000	12400000	12409999	8.13	1.273565145	1.208800447	2.75
1270000	12500000	12509999	3.58	2.270632593	1.272478704	2.13
1320000	12600000	12609999	2.06	0.999860355	1.386010334	1.56
1370000	12700000	12709999	2.93	0.57533864	1.436003351	5.49
1420000	12800000	12809999	1.63	0.818321463	1.464770283	3.16
1470000	12900000	12909999	2.93	0.455243681	1.505686357	5.21
1520000	13000000	13009999	1.74	0.818321463	1.528448541	1.99
1570000	13100000	13109999	4.99	0.485965647	1.569364614	2.47
1620000	13200000	13209999	2.82	1.393660103	1.593662896	0.96
1670000	13300000	13309999	0.54	0.787599497	1.663345901	2.23
1720000	13400000	13409999	3.04	0.150816925	1.702725876	2.77
1770000	13500000	13509999	2.39	0.84904343	1.710266723	1.62
1820000	13600000	13609999	4.01	0.667504538	1.752718894	3.17
